label,statement,length,Controversial
false,teacher involv develop common core state standard,73,0.0
barely-true,senat hillari clinton paid women less men offic,73,0.0
barely-true,mark warner record one act keyston xl pipelin,70,0.0
false,parent trigger legisl draft presid obama top advi draft presid clinton top advi,130,0.0
mostly-true,say ron johnson vote turn medicar voucher program,63,0.0
mostly-true,say berni sander advoc put iranian troop syria tri resolv conflict put right doorstep israel,148,0.0
mostly-true,barack obama church gave lifetim achiev award loui farrakhan,75,0.0
barely-true,toothpast contain poison substanc fluorid,53,0.0
true,today import tripl amount oil day senat mccain took offic,92,0.0
half-true,shutdown normal part constitut process shutdown democrat hous speaker tip oneil two speakership,154,0.0
half-true,sinc texa gain peopl maryland lost,75,0.0
half-true,said state insur commiss candid ralph hudgen fight hard strip women life save coverag mammogram,128,0.0
mostly-true,two appoint florida suprem court raul cantero kenneth bell earn reput consist conserv,142,0.0
barely-true,say legisl support gay right activist would strip mother father futur texa birth certif,118,0.0
barely-true,say gerald daugherti advoc lower penalti crime like strangul domest violenc case throw peopl jail system,167,0.02807805090724491
pants-fire,mercuri use vaccin safe level mercuri,67,0.0
true,say four year term citi council member norm citi size,86,0.0
true,tommi thompson father welfar reform creat groundbreak wisconsin work program wisconsin becam model nation intern reform,174,0.0
true,sell product made america rest world ever,84,0.0
pants-fire,wildlif arctic nation wildlif refug,58,0.0
mostly-true,right everi major poll nation poll statewid poll done last month six week defeat trump often big numbersand alway larger margin secretari clinton,200,0.0
barely-true,fought share valu without ideologu partisan,76,0.0
true,cost cancer affili issu billion year state,88,0.0
false,cap trade plan,24,0.0
false,left blatant attempt disrupt georgia elect,63,0.0
half-true,say obama net neutral proposalput govern charg determin internet price term servic type product servic deliv,172,0.0
true,presid barack obama reduc cost prescript drug near million american,103,0.0
barely-true,tampa bay islead state job creation,47,0.0
half-true,earmark dollar doubl sinc tripl last year,91,0.0
false,say ted cruz support legal peopl countri illeg propo give work permit,123,0.0
mostly-true,economi louisiana grown percent faster nation gdp even sinc nation recess,112,0.0
false,whether wrote provi allow aig dole bonus,69,0.0
pants-fire,aclu atheist denver demand nfl stop tim tebow pray sidelin,103,0.0
half-true,loi frankel spent taxpay money marbl shower privat bathroom toilet,111,0.0
pants-fire,wisconsin use vote machin outlaw illeg,67,0.0
mostly-true,half oregon univ student pell grant,54,0.0
barely-true,say uncompen health care cost absorb texa hospit ad year texa privat insur rate,123,0.0
half-true,invest million traffic fix without rai tax,60,0.0
true,countri bomb obama bush,33,0.0
false,u rep debbi wasserman schultz blame republican creation hama,88,0.0
pants-fire,report navi time said percent armi navi marin thought attempt suicid,109,0.0
barely-true,cut properti tax one third state texa ive governor,81,0.0
mostly-true,say texa pass state dream act state,59,0.0
true,hillsborough public transport commiss rule say cabbi wear sock mean plea come,120,0.0
barely-true,increa min wage hour would reduc spend food stamp public hous program billion year,140,0.0
half-true,say journalist kill mexico last decad,66,0.0
barely-true,u rep allen west want bring back earmark,50,0.0
barely-true,almost peopl day move florida free state,115,0.0
mostly-true,texa rank th per pupil fund among state,55,0.0
mostly-true,washington time point succeed previous administr fail spend cut,118,0.0
half-true,flint mich pipe still havent replac water still poison,83,0.0
true,virginia opportun becom first state east coast explor produc oil natur gas offshor,142,0.0
half-true,donald trump deci skip fox news googl debat des moin near unprec,94,0.03076182736165156
false,mccain campaign rough posit vice presid gore run presid bush one week elect,145,0.0
mostly-true,twice mani state greater share popular vote,78,0.0
false,health care reform everyth go rai cost rai tax lower qualiti health care,114,0.0
barely-true,citi san antonio reus almost percent water know much citi austin reus percent right better,163,0.0
false,sinc unit state spent untold trillion yet poverti rate hasnt budg,91,0.0
half-true,cost hell lot money put somebodi jail send univ virginia,105,0.0383217009488368
false,new jersey state union spent less higher educ begin decad,121,0.0
mostly-true,say mitt romney alway said agr deadlin leav afghanistan,97,0.0
mostly-true,say said last year absolut reason texa sece,71,0.0
barely-true,say u rep ann mclane kuster use taxpay money send campaign mail,87,0.0
barely-true,boccieri vote spend billion dollar hour everi hour first day offic,94,0.0
half-true,mandel busi travel countri rai campaign money hasnt shown work,97,0.0
half-true,say berni sander want higher standard toy gun real gun,71,0.0
true,million peopl year come u legal countri even come close figur,101,0.0
half-true,major peopl poll support obamacar,57,0.0
pants-fire,obama administr activ support al qaeda iraq terrorist group becam islam state,117,0.0
pants-fire,said plan parenthood ear object help kill black babi came world,103,0.0
half-true,due war iraq american dead sever wound suffer serious health problem relat post traumat stress syndrom,181,0.0
true,republican charg actual expand govern health care prescript drug program,118,0.0
half-true,say administr salari increa school employ left behind,88,0.0
mostly-true,first congress pack framer requir ship owner provid medic insur seamen congress also requir seamen buy hospit insur congress enact law mandat abl bodi citizen obtain firearm,296,0.0
barely-true,ken mercer want sean hanniti jame dobson includ social studi text,80,0.0
false,tran pacif partnership,33,0.0
barely-true,say char crist could expand medicaid health care law pass didnt,91,0.0
false,say congressman steve cohen took offic unemploy rate percent unemploy rate shelbi counti reach percent,167,0.0
half-true,hispan student florida perform best hispan popul unit state,94,0.0
half-true,say presid obama grown feder govern payrol worker want add,111,0.0
mostly-true,florida jeb bush governor state author conduct deepli flaw purg voter presidenti elect plan purg even voter head,200,0.0
pants-fire,say sen sherrod brown eg lot protest spit policemen go bathroom policemen car protest wall street place,203,0.0
barely-true,presid obama pledg go budget line line watch non defen spend spiral control increa percent last year alon,181,0.02915873640912081
pants-fire,say chuck hagel nomin defen secretari public celebr iranian govern,105,0.0
true,koch brother one biggest pollut countri,66,0.0
false,say texa state exempt jet fuel state motor fuel tax,82,0.0
mostly-true,say austin citi council may give million year subsid race track,82,0.0
true,say babi coo counti two time like born mother someon use tobacco pregnanc averag babi born oregon u,175,0.0
half-true,obamacar use tax dollar provid free viagra convict rapist regist sex offend,109,0.0
half-true,say sen kay bailey hutchison took privat flight fund taxpay though commerci flight readili avail fraction cost,155,0.0
true,standpoint counti govern neither school system receiv increa fund past six year,126,0.0
false,reconcili,17,0.0
mostly-true,everi new republican member u senat said vote repeal replac obamacar,99,0.0
false,virginia current unemploy rate lowest virginia histori,70,0.0
mostly-true,austin mayor candid steve adler admit law firm work koch industri near decad,107,0.0
pants-fire,provid r illeg sell toothpast toothbrush custom sunday,102,0.0
true,trenton politician cut billion educ,52,0.0
mostly-true,unit state give million day israel give countri blank check,88,0.0
false,new colorado law liter allow resid print ballot home comput encourag turn ballot collector,146,0.0
mostly-true,georgia lost job unemploy rate increa sinc stimulus pass,105,0.0
barely-true,say state rep patrick rose vote percent liber back state largest tax increa propo near billion govern spend support obama style govern run health care system texa,222,0.0
false,eisenhow administr singl soldier die combat,74,0.0
mostly-true,plan air condit restaur len,63,0.0
true,keyston xl pipelin,27,0.0
mostly-true,percent north carolinian live wage,55,0.0
false,california senat democrat senat diann feinstein said could say mr america mrs america give gun im round em would,159,0.0
false,say support georg bush barack obama,64,0.0
mostly-true,averag fast food worker fast food worker form public assist,101,0.0
half-true,say last five year texa creat job state combin,89,0.0
false,send much interest china pay entir peopl liber armi,116,0.0
pants-fire,even tim kain say trust hillari clinton,63,0.0
mostly-true,time medicar part pass actual less popular afford care act accord poll,130,0.0
false,say u senat pass budget last three year call budget control act,97,0.0
false,medicar offici treat humana aarp inconsist communic senior,104,0.0
mostly-true,huckab one highest tax governor countri rival bill clinton term cato rate,134,0.0
mostly-true,interior deport obama percent nine year low,78,0.0
barely-true,rick scott got major hispan vote florida,58,0.0
mostly-true,recent news report indic dwi crash austin drop percent sinc rideshar enter market,107,0.03164251988370037
half-true,averag groceri store rough percent process food contain genet modifi organ gmos,115,0.0
pants-fire,obama would experi social,40,0.0
half-true,miscarriag consid abort,40,0.0
false,islam state built hotel syria,46,0.0
barely-true,realiti problem whatsoev texa voter id law,79,0.0
mostly-true,april studi found percent ad elect cycl negat due superpac percent period,167,0.0
pants-fire,justic john robert sign obama arrest treason,61,0.0
half-true,aboard florida receiv million florida taxpay dollar,69,0.0
barely-true,nineti million american either arent work arent look work,72,0.0
true,iranian say say deal understand two differ thing,121,0.0
true,feder govern differ mean test social welfar program,77,0.0
half-true,use money tarp fund manner discuss white hous congress democrat would violat law,149,0.0
barely-true,georg hold doesnt live congress district hes run doesnt experi thing experienc,148,0.0
mostly-true,weve cut deficit two third,35,0.0
mostly-true,say presid obama never made statement want residu forc left iraq,99,0.0
true,return money everi year sinc take offic,53,0.0
true,last year weve wit dramat expan jail immigr peopl detain annual,148,0.03706186700831915
false,say maryellen oshaughnessi accept campaign cash indict politician jimmi dimora,89,0.0
mostly-true,palin fire wasilla polic chief intimid,66,0.0
barely-true,ceo goldman sach let employ know hed fine either bush clinton,98,0.0
barely-true,republican leadership took lead confirm loretta lynch attorney general,81,0.0
barely-true,bad enough stephen silberkraus appear sexual fetish film women kidnap home forc live nake kennel train pet silberkraus isnt act film degrad women hes stalk person time,280,0.0
barely-true,say hillari clinton vote rai tax worker earn littl,82,0.0
true,know approv rate congress percent,64,0.0
half-true,say rick santorum fund plan parenthood,45,0.0
barely-true,school state spend day year test prep actual test,92,0.0
true,oregon student skip math class learn bibl,69,0.0
true,unit state right incarc african american percentag apartheid south africa,112,0.0
true,percentag texa high school student meet colleg readi standard texa higher educ coordin board stood english math figur stood,231,0.0
half-true,obama liber fiscal agenda billion new spend,65,0.0
half-true,tommi thompson made million corpor outsourc american job hes tri lavish huge tax break,128,0.0
false,georgia well deserv reput set gold standard food safeti,85,0.0
barely-true,ask union pay health care insur said unreason request contribut toward pension scream unfair,202,0.0
mostly-true,creat job last year bush administr eight year,94,0.0
half-true,resign announc resign abolish prohibit pay play peopl counti state contract,136,0.0
false,lawmak fail avert fiscal cliff percent feder money sent state elimin,123,0.0
true,averag annual compen teacher milwauk public school system exceed,115,0.0
false,say u rep paul ryan budget propo elimin medicar year,74,0.0
barely-true,say fewer job america today barack obama becam presid,83,0.0
barely-true,say u senat candid cori gardner block immigr reform vote deport dreamer,100,0.0
barely-true,say politifact valid independ document crimin histori claim adan ballestero,106,0.0
mostly-true,women make cent everi dollar man earn,49,0.0
false,peopl refus get drug screen drug,85,0.0
barely-true,say mitt romney ask waiver feder welfar rule,63,0.0
false,say tom hugh support pave thousand acr develop sprawl,89,0.0
barely-true,sen jack reed cast decid vote senat afford care act,80,0.0
true,david cicillin state repr oppo tough mandatori sentenc convict domest violenc child abus,140,0.0
false,bill white offer sanctuari illeg immigr,54,0.0
barely-true,say clinton burst self pronounc guidelin acceptingforeign donat clip bill clinton say go take foreign donat,179,0.0
barely-true,current million almost billion dollar activ develop project right citi richmond,131,0.0
half-true,sixti two percent person bankruptci caus medic problem,80,0.0
barely-true,china made enorm progress human right fact recogn peopl world,111,0.0
pants-fire,say state medicaid waiver propo languish file cabinet center medicar medicaid servic two year,148,0.0
mostly-true,u teenag fallen behind counterpart ireland poland even vietnam math scienc,113,0.0
barely-true,one ill report raw milk texa four year total six ill occur last year,142,0.0
mostly-true,one highest percentag per capita nonprofit state state union,104,0.0
true,gop platform seek limit abort silent except rape year,132,0.0
barely-true,say suprem court justic sonia sotomayor animmigr famili background,77,0.0
false,new arizona immigr law polic stop someon check immigr status unless think see someth illeg,144,0.0
half-true,mitt romney supervi compani guilti massiv medicar fraud,66,0.0
mostly-true,california gubernatori candid steve poizner republican gave al gore recount effort,115,0.0
half-true,rememb presid health care bill put million peopl health care roll werent,120,0.0
true,fox news use photo marri coupl promot tradit marriag photo actual sex coupl,118,0.027073963956813163
false,everi time rai minimum wage number jobless peopl increa,77,0.0
true,trump manag charg discrimin african american break feder law,100,0.0
half-true,china soon largest english speak nation world,74,0.0
true,nation park servic annual budget less citi austin,84,0.0
true,iron first energi corp go name footbal stadium cleveland public power suppli electr,146,0.0
barely-true,congressman jeff denhamha agr illeg immigr detain arrest deport,99,0.0
true,peopl murder knive hand feet club hammer type rifl,111,0.0
false,governor tim kain oversaw huge increa illeg immigr tremend increa,93,0.0
mostly-true,say indiana gov mike penc provid zero state fund homeless shelter,79,0.0
false,virginia ban felon vote jim crow era law,62,0.0
false,weve broken million time record vote gop presidenti primari elect,93,0.0
false,one minimum wage worker today teen age young person,77,0.0
half-true,say hillari clintoninsist progress agenda encount religi belief contrari belief chang,140,0.0
true,saysberni sander rever posit immun gun manufactur seller,91,0.0
mostly-true,major bill know hillari name,58,0.0
true,nation econom recoveri led higher expect tax revenu project budget surplus near everi state nation includ wisconsin,164,0.0
false,say go sell hous use proceed stabil rate,77,0.0
barely-true,say ir employ ad administ obamacar look tax implic,100,0.0
barely-true,senat hillari clinton actual paid femal staffer lot less men,80,0.0
pants-fire,accord recent report group death panel organ obamacar order first execut,109,0.0
half-true,weve given billion iran equiv u term trillion,91,0.0
mostly-true,campaign finish last quarter report cash hand republican field million bank million jeb bush campaign,173,0.0
mostly-true,minus vote record nra,44,0.0
true,say fought billion cut public educ sinc,75,0.0
true,move white hous lowest net worth famili sinc harri truman,97,0.0
false,say ea restrict sell alcohol sunday result traffic crash fatal,105,0.0
mostly-true,say chris christi inherit highest tax america worst unemploy region,100,0.0
false,right tea parti poll higher republican democrat,76,0.0
mostly-true,everi year first coast guard district save live northeast,75,0.0
half-true,say even budget adopt privat school choic program would get half per pupil fund public school receiv,154,0.0
mostly-true,figur septemb job growth wisconsin mark largest privat sector job creation weve month septemb decad,153,0.0
barely-true,accord cdc million american sexual transmit ill,84,0.0
pants-fire,say former presid czech republ said american peopl confederaci fool elect barack obama,127,0.0
mostly-true,abl provid million worth properti tax relief,66,0.0
barely-true,say presid obama reduc naval fleet level,66,0.0
half-true,medicar good better keep peopl healthi medicar advantag,91,0.0
mostly-true,median household incom highest nation,66,0.0
pants-fire,possibl non citizen voter respon obama victori north carolina,96,0.0
true,fact show approxim person death row appel review complet await governor signatur death warrant end case,181,0.0
half-true,first time year depend foreign oil percent,82,0.0
false,give gun gang get jail free california proposit pass drive shoot get jail free proposit pass discharg gun school yard get jail free,253,0.05349809230178981
barely-true,amanda murphi two vacat home around world,54,0.0
true,join gang seven republican seven democrat blow unit state senat sen obama opportun join group chose,182,0.0
false,gov nathan deal taken least koch brother busi employ,108,0.0
true,man use bath salt report raccoon set fire insid home stolen cell phone,101,0.0
true,coupl retir today pay lifetim medicar tax receiv lifetim medicar benefit buck benefit everi dollar tax,189,0.0
half-true,rick perri advoc liquid state raini day fund,68,0.0
pants-fire,democrat health care plan govern takeov health program,82,0.0
false,say scott walker say would ban stem cell research,54,0.0
mostly-true,first time histori wisconsin govern job manufactur job,90,0.0
true,top well paid ceo america receiv combin million averag american worker wage rose percent,144,0.0
half-true,bill u rep ted yohoattempt restrict administr abil conduct nation secur crimin background check undocu immigr,166,0.0
false,statist law enforc offic die year earlier general popul,89,0.0
mostly-true,america percent world oil consum percent global reserv,88,0.0
half-true,air travel cant get plane unit state without someon background check,104,0.0
mostly-true,four percent american citizen black male percent murder victim,93,0.0
half-true,feder govern may put ir agent charg polic presid obama health care bill,105,0.0
false,suicid come feder govern largess say worth anyth go get someth noth,128,0.0
true,havent control hous last two year malfunct session schedul held,129,0.0
mostly-true,congress made histori least product unpopular congress histori proud nation,112,0.0
mostly-true,accord estim agreement panama could result almost florida job thefirst year job afterf year,151,0.0
half-true,cant afford pay percent govern employ benefit,71,0.0
half-true,univ texa student sign petit seek legal right abort newborn babi five year old,116,0.0
barely-true,askedthedivi emerg manag toreport direct,72,0.0
mostly-true,weve ad last eight year trillion debt nation oblig,84,0.0
false,u n arm treatyinfr upon right keep bear arm,67,0.0
barely-true,teacher abl return work rai children,73,0.0
true,say newt gingrich align nanci pelosi global warm,63,0.0
false,jewish holiday purim version halloween,62,0.0
false,fact rick scott run governor reform would funni outrag man bare escap imprison,154,0.0
pants-fire,scott walker wisconsin unemploy,64,0.0
mostly-true,job countri percent chanc go poverti,102,0.0
mostly-true,accord u census bureau percent hispan regist voter texa percent african american regist voter particip elect,182,0.0
mostly-true,wisconsin state budget almost twice larg per person state budget texa even billion tax cut wisconsin work famili busi remain subject heavi tax burden,207,0.0
pants-fire,say target instal urin women bathroom accommod one giblet,92,0.0
pants-fire,anonym e mail say hillari clinton advoc communism,66,0.0
false,say cnns wolf blitzer wrong say wealthiest american pay tax alreadi percent american dont even pay feder incom tax,170,0.0
mostly-true,peopl want presid barack obama impeach white theyr older guess theyr far right wing republican parti,155,0.0
half-true,say politifact rule ed gillespi ad fal mislead,74,0.0
true,fifteen year ago asset six largest bank countri total percent gdp asset six largest bank unit state today total percent gdp,188,0.0
barely-true,ronald reagan came econom growth averag less percent year one four year period true true,188,0.0
true,first time near two decad produc oil unit state buy rest world,127,0.0
false,largest categori peopl come technic school wisconsin peopl four year degr,112,0.0
false,brazil got oil last year,40,0.0
false,louisiana get one singl penni gulf coast offshor oil revenu,76,0.0
mostly-true,heard talk curb use fossil fuel near everi state union address sinc oil embargo,128,0.0
false,first time u histori person inact deem unlaw purcha health insur plan,121,0.0
barely-true,american colleg amount cartel,37,0.0
mostly-true,louisiana turn million would requir us chang unemploy law would actual rai tax louisiana busi,157,0.0
false,say live colonia work farm worker,58,0.0
mostly-true,last year countri prison popul grown percent,81,0.0
barely-true,presid obama say option tabl prevent nuclear iran hagel say militari action viabl feasibl respon option,160,0.0
pants-fire,berni sanderss plan rai tax percent,58,0.0
true,say russ feingold broke promi alway get major fund wisconsin resid,105,0.0
true,even attorney general strong democrat said need causat worker comp system thing push manufactur job illinoi,185,0.0
half-true,dont bridg built unit state,54,0.0
mostly-true,money dedic within depart homeland secur climat chang spent combat islamist terrorist radic internet unit state america,195,0.0
true,say presid franklin delano roosevelt felt wasnt need public sector collect bargain govern peopl,153,0.0
barely-true,everi time buy airlin ticket feder govern run background check,92,0.0
false,first parti elect bald guy governor,59,0.0
barely-true,say robert menendez king rai money wall street million dollar one leader unit state senat havent rai wall street money,185,0.0
mostly-true,first hour oper libya saw million go downrang tomahawk crui missil littl million,156,0.0
mostly-true,past year dekalb attract retain job,73,0.0
true,two year ago wrote secretari paulson wrote feder reserv chairman bernank told subprim lend someth deal,159,0.0
mostly-true,manufactur best employ year almost year,68,0.0
true,georgia rank rate women murder men,57,0.0
pants-fire,bicycl ownership drop half obe rhode island rise percent,82,0.0
mostly-true,sue lowden gave harri reid campaign thousand dollar five differ elect help senat dream come true,123,0.0
mostly-true,gay man surviv orlando hate crime still show work fl tomorrow boss fire simpli gay,136,0.0
true,say gov char crist call rock star,53,0.0
barely-true,say u rep conni mack took seven half year finish colleg,73,0.0
pants-fire,portland school spend k deem pbj sandwich racist,59,0.0
half-true,say jersey shore folk theyr new york,52,0.0
pants-fire,say cure char sheen island comoro hiv milk goat arthriti,103,0.0
true,say kelli ayott vote yesterday propo expand background check buyer continu simpli go onlin gun show purcha gun without background check,191,0.0
barely-true,govern employ make percent wage benefit privat sector worker,92,0.0
mostly-true,creat net new job sinc take offic,52,0.0
true,get money activ duti offic militari personnel,70,0.0
true,texa school even teach sex educ,58,0.0
false,terri mcauliff cash walk away million demi global cross,89,0.0
barely-true,histor social secur tax assess u incom captur growth incom among highest earner,175,0.0
false,phoenix kidnap capit western hemisph,60,0.0
pants-fire,statist show nine time like assault taxi driver austin driver ride hail servic,137,0.0
true,year ago march call immedi action address abus subprim market laid detail concret propo,159,0.0
mostly-true,illinoi senat barack obama pass legisl move peopl welfar job,99,0.0
false,gov terri mcauliff made sever statement would love cabinet secretari posit clinton administr,138,0.0
barely-true,littl defen budget less percent actual goe fight isi intern terror,118,0.0
true,say u depart homeland secur must report congress committ subcommitt,114,0.0
mostly-true,everi american debt money owe money children owe even go kindergarten check feder govern right,177,0.0
half-true,republican candid john loughlin talk privat social secur know stand issu,130,0.0
half-true,say cut gov rick perri administr left teacher without job,80,0.0
true,say gari farmer claim receiv nra absolut lie,78,0.0
half-true,peopl insur impact health care law insur stronger better secur full stop dont worri anyth el,211,0.0
barely-true,independ group behind ad attack democrat candid front group foreign control compani,112,0.024852071618519878
barely-true,say donald trump support agenda privat veteran affairshealth care system,99,0.0
true,marco rubio spent k tax dollar remodel offic build member loung,99,0.0
false,place america among danger world go place like oakland ferguson crime number wor serious,159,0.0
mostly-true,say texa state fund spent tv seri spous cheat wive kind glorifi act cheat,124,0.0
pants-fire,congressman mccollum vote dismantl social secur,56,0.0
false,bush tax cut high earner biggest contributor budget deficit,89,0.0
false,presid obama lawsuit claim unconstitut ohio allow servicemen women extend ear vote privileg state ear vote period,165,0.0
barely-true,record far know health care alreadi avail,102,0.0
mostly-true,nevada unemploy violent crime car theft divorc robberi foreclosur,95,0.0
false,say mandat time child bodi inject disea immun,98,0.0
true,florida high school graduat rate fall well nation averag,75,0.0
half-true,say four democrat state senat vote rai tax wisconsin worker anoth month freeload get free state run health care,152,0.0
barely-true,gov scott walker wisconsin project billion budget surplus turn deficit billion,124,0.0
true,republican gotten endor presidenti race major labor union,104,0.0
false,annex would lead overcrowd decatur citi school,63,0.0
mostly-true,never hous republican actual cut spend reduc state budget even cut tax increa spend never paid tax cut,184,0.0
half-true,say former miami dade mayor carlo alvarez current mayor candid carlo gimenez drove fanci european car taxpay expen,140,0.0
false,fundrai super pac,29,0.0
pants-fire,candid ran either democrat republican primari said begin rai tax middl class,166,0.0
mostly-true,twenti percent electr current come nuclear power plant think unit state two around coast california,164,0.0
mostly-true,nordic countri countri meet develop aid goal,83,0.0
false,tell david cicillin percent carbon emiss want get rid caus natur,111,0.0
false,sen barbara boxer vote immigr reform permit hispan immigr peopl come legal work,120,0.0
barely-true,senat obama liber vote record unit state senat,77,0.0
mostly-true,say mari burk madison school district school district left state ignor act law school year,146,0.0
false,growth sector weve last two year america govern growth,91,0.0
half-true,rai minimum wage actual help half work full time averag worker year old,115,0.0
mostly-true,fifti percent graduat class year smoke marijuana done illeg drug,109,0.0
mostly-true,taxpay pay fortun use air forc one campaign trail presid barack obama hillari clinton,128,0.0
false,note mani observ includ bill clinton former secretari labor plan anybodi reduc cost,136,0.0
half-true,public option fund public money fund privat insur premium,95,0.0
true,thirti eight state georgia includ appoint rather elect state school superintend,113,0.0
false,come nobodi stop train,39,0.0
false,averag u militari work dog save live servicemen women span career,131,0.0
mostly-true,onlin chang address place estim voter cast provi ballot could chang address onlin vote regular ballot,179,0.0
true,tourism account job state ohio visitor spend billion annual,96,0.0
true,say food stamp growth high lag rise unemploy,68,0.0
true,shoot dalla policemen near peopl appli day,83,0.0
mostly-true,conserv vote record,41,0.0
true,women oregon paid cent everi dollar paid men wage gap elimin work woman oregon would enough money gallon gas week food famili near month rent,242,0.0
false,ive gotten see commerci ive gotten see vicious commerci ive ever seen michel obama talk hillari,174,0.0
half-true,everi dollar counti get tax new develop cost us percent provid servic,116,0.0
barely-true,year old move austin citi america,77,0.0
mostly-true,anybodi whos tri cross street seen sign say stop pedestrian crosswalk bill pass,164,0.0
true,poll show percent new jerseyan percent gun household state support expand background check keep gun away shouldnt,178,0.0
half-true,one thousand peopl day move texa mean million peopl next year,119,0.0
mostly-true,countri constitut right like second amend,70,0.0
false,taken away right current exist citi north carolina passag hb,116,0.0
half-true,john boozman excit put percent nation sale tax everyth buy,92,0.0
half-true,sinc june percent job creat america texa,83,0.0
false,say ron wyden spent million studi exot ant,53,0.0
half-true,announc resid florida go experi massiv doubl digit premium hike,115,0.0
false,young man woman enter ninth grade newark year percent graduat rate,117,0.0
half-true,van jone sign petit indic think bush administr blew world trade center cover,122,0.0
mostly-true,feder govern percent land state million acr,96,0.0
half-true,say berni sander auto bailout vote money end save auto industri,116,0.0
pants-fire,epa close lead smelter missouri lead bullet come oversea,104,0.0
false,ken hodg bad botch investig result justic wasnt done case,94,0.0
false,donald trump hillari clinton berni sander ident posit health care want put govern charg doctor,170,0.0
mostly-true,minimum wage lower right ronald reagan took offic,79,0.0
mostly-true,communiti colleg system state cut reduc fund per student,88,0.0
true,atlanta brave oldest continu oper profess sport franchi america,98,0.0
mostly-true,bought gst steel mitt romney partner load debt close kansa citi plant walk away healthi profit leav hundr employ work pension jeopardi,221,0.0
false,militari veteran street countri given day,93,0.0
false,new york time write long stori donald trump tax return didnt point wrongdo paragraph,137,0.0
half-true,renew advanc energi manufactur project ohio rank first among state,98,0.0
mostly-true,saysjeb bush signif cut ear vote prior presidenti elect,84,0.0
barely-true,academ achiev student athlet mention breath spirit notr dame stanford,121,0.0
mostly-true,barack obama million new peopl healthcar,67,0.0
mostly-true,right keep percent georgia tech graduat,62,0.0
mostly-true,fund tuberculosi research provid u nation institut health,96,0.0
false,amaz job lost first month smoke ban implement ohio hospit industri alon,128,0.0
false,say mexico doesnt birthright citizenship american one,91,0.0
mostly-true,massachusett pass mandatori health insur law mortal rate went save live,108,0.0
mostly-true,orang counti florida school board vote make imposs student receiv grade,111,0.0
false,richmond vegan friend citi,41,0.0
mostly-true,conni mack miss vote one worst vote record congress,83,0.0
true,senat obama relat friend say talk run presid least last year campaign spokesman said,148,0.0
false,presid obama never receiv paycheck profitmak busi entir life,94,0.0
false,wendi davi oppo limit abort,43,0.0
barely-true,legal find somebodi el salari even exact job retali includ fire place,168,0.0
true,unit state experienc straight month unemploy percent higher,92,0.0
false,presid relea oil strateg oil reserv,69,0.0
mostly-true,suspect terrorist attempt buy gun america walk away weapon want,105,0.0
pants-fire,presid obama sign copenhagen climat chang treati sign freedom democraci prosper away forev neither subsequ govern may elect would power whatsoev take back,255,0.0
false,congress fail act obama administr intend give away control internet intern bodi akin unit nation,148,0.0
false,labor union presid andi stern frequent visitor white hous,81,0.0
barely-true,u trillion unfund liabil,55,0.0
true,evid donald trump use recruit tool terrorist,92,0.0
half-true,studi studi shown death penalti deter murder,70,0.0
mostly-true,nationwid tuition public univ almost percent last year,92,0.0
half-true,attack healthi year old homosexu man would protect law attack eight year old child,130,0.04428504196288574
false,cap trade plan,24,0.0
true,lyndon b johnson first year congress oppo everi civil right measur came vote,116,0.0
pants-fire,two year ago longest serv leader california republ jerri brown bold declar china california separ nation,145,0.0
barely-true,vote obamacar sen kay hagan vote kill equiv million job,89,0.0
false,keyston oil pipelin would employ peopl unit state,74,0.0
pants-fire,misogynist bigot epic proport like u rep steven smith allow serv,93,0.0
barely-true,barack obama right seven year dramat degrad militari,88,0.0
barely-true,say club growth tri defeat republican presid call nanci pelosi person respect washington,141,0.0
barely-true,argu year need move musharraf polici pakistan polici,90,0.0
true,say bike crosswalk dip wheel road car must legal stop,123,0.0
false,joe garcia rai util rate famili,44,0.0
half-true,firefight policemen support wisconsin gov scott walker elect bid dont worri collect bargain right,171,0.0
mostly-true,two third top rate hospit florida hospit,68,0.0
true,lifespan averag american less peopl nation spend far less health care put blunt spend die sooner,166,0.0
half-true,say donald trump say organ crime run wild reserv,65,0.0
half-true,barack obama said differ obama georg bush war,95,0.0
pants-fire,watch jersey citi n j thousand thousand peopl cheer world trade center collap,122,0.032243736870567474
half-true,singl night januari state local plan agenc rhode island report follow estim homeless veteran homeless,161,0.0
half-true,austin san antonio houston dalla sex coupl rai children,97,0.0
mostly-true,shaheen vote obama percent time,48,0.0
half-true,say state senat leader accept campaign contribut dentist pharmacist past two year,131,0.0
pants-fire,say bill white refus debat,38,0.0
true,republican vote stimulus happi claim credit recoveri act project job project produc come ribbon cut,192,0.0
half-true,noth rhodemap ri plan take away local govern control local zone control,107,0.0
half-true,percent georgian dont support legisl ea gun restrict hous worship bar campus,130,0.0
half-true,virginia popul increa percent per capita spend budget increa whop percent,148,0.0
barely-true,without westsid max wed need add lane sunset highway,70,0.0
pants-fire,elena kagan new york citi radic marxist lawyer,75,0.0
true,say rick perri provid state tuition illeg immigr,68,0.0
pants-fire,say report texa vote donald trump state republican primari virtual get talli marco rubio,149,0.0
barely-true,wendi davi alreadi taken teacher union past democrat gubernatori candid combin,116,0.0
false,propo immigr bill bankrupt georgia pass,60,0.0
false,say larg major republican believ obama muslim u born,79,0.0
mostly-true,three year could find close million gallon per day toilet replac program,102,0.0
